Hhid,Day,Comp,SEC,Age,Child,Ncars,Gend,Wstat,AgeP,Actnr,Atype,With,BT,ET,Home,PPC,Mode,TravTime,TravDist,Eindhoven,Dur
4121168,1,2,2,1,1,2,1,0,1,12,9,0,2300,2700,1,4824,0,10,4.14,1,240
4122126,1,2,2,1,3,1,0,0,1,1,9,0,300,700,1,5052,,0,,1,240
4122126,1,2,2,1,3,1,0,0,1,2,0,0,800,1200,0,5611,0,60,38.69,1,240
4122126,1,2,2,1,3,1,0,0,1,3,0,0,1300,1630,0,5038,0,60,36.47,1,210
4122126,1,2,2,1,3,1,0,0,1,4,9,0,1700,2700,1,5052,0,30,5.62,1,600
4122126,1,2,2,1,3,1,1,1,1,1,9,0,300,900,1,5052,,0,,1,360
4122126,1,2,2,1,3,1,1,1,1,2,3,0,905,930,0,5133,1,5,3.19,1,25
4122126,1,2,2,1,3,1,1,1,1,3,9,0,935,1500,1,5052,1,5,3.19,1,365
4122126,1,2,2,1,3,1,1,1,1,4,3,0,1510,1530,0,5022,1,10,5.83,1,20
4122126,1,2,2,1,3,1,1,1,1,5,9,0,1540,1700,1,5052,1,10,5.83,1,120
4122126,1,2,2,1,3,1,1,1,1,6,0,0,1710,2315,0,5022,1,10,5.83,1,365
4122126,1,2,2,1,3,1,1,1,1,7,9,0,2330,2700,1,5052,1,15,5.83,1,250
4123017,1,1,2,1,0,1,1,2,1,1,9,0,300,1100,1,5555,,0,,1,480
4123017,1,1,2,1,0,1,1,2,1,2,6,0,1130,1230,0,6004,0,30,24.42,1,60
4123017,1,1,2,1,0,1,1,2,1,3,3,0,1309,1750,0,5611,0,39,30.09,1,281
4123017,1,1,2,1,0,1,1,2,1,4,6,0,1840,1930,0,6004,0,50,30.09,1,90
4123017,1,1,2,1,0,1,1,2,1,5,9,0,1954,2700,1,5555,0,24,24.42,1,466
4123155,1,1,2,0,0,1,0,2,0,1,9,0,300,730,1,5653,,0,,1,270
4123155,1,1,2,0,0,1,0,2,0,2,0,0,915,1700,0,5653,0,105,,1,505
4123155,1,1,2,0,0,1,0,2,0,3,9,0,1845,1900,1,2715,0,105,,1,55
4123155,1,1,2,0,0,1,0,2,0,4,6,0,1920,1945,0,2715,0,20,,1,25
4123155,1,1,2,0,0,1,0,2,0,5,6,0,2010,2100,0,2515,0,25,13.02,1,90
4123155,1,1,2,0,0,1,0,2,0,6,9,0,2115,2700,1,5653,0,15,,1,385
4123555,1,3,3,1,1,2,0,2,1,1,9,0,300,1350,1,5611,,0,,1,650
4123555,1,3,3,1,1,2,0,2,1,2,6,0,1400,2015,0,5663,0,10,5.63,1,375
4123555,1,3,3,1,1,2,0,2,1,3,9,0,2025,2700,1,5611,3,10,5.63,1,435
4123555,1,3,3,1,1,2,1,1,1,1,9,0,300,1350,1,5611,,0,,1,650
4123555,1,3,3,1,1,2,1,1,1,2,6,0,1400,2015,0,5663,3,10,5.63,1,375
4123555,1,3,3,1,1,2,1,1,1,3,9,0,2025,2700,1,5611,0,10,5.63,1,435
4124101,1,0,0,4,0,0,1,0,4,1,9,0,300,1000,1,5652,,0,,1,420
4124101,1,0,0,4,0,0,1,0,4,2,4,0,1015,1105,0,5611,1,15,4.04,1,90
4124101,1,0,0,4,0,0,1,0,4,3,9,0,1120,2700,1,5652,1,15,4.04,1,980
4124187,1,0,0,4,0,0,1,0,4,1,9,0,300,1300,1,5642,,0,,1,600
4124187,1,0,0,4,0,0,1,0,4,2,5,0,1325,1350,0,5641,1,25,1.29,1,25
4124187,1,0,0,4,0,0,1,0,4,3,9,0,1420,2700,1,5642,1,30,1.29,1,800
4124188,1,0,1,2,0,2,0,0,2,1,9,0,300,815,1,5627,,0,,1,315
4124188,1,0,1,2,0,2,0,0,2,2,5,0,840,1015,0,5611,0,25,7.18,1,135
4124188,1,0,1,2,0,2,0,0,2,3,5,0,1040,1145,0,5623,0,25,2.88,1,65
4124188,1,0,1,2,0,2,0,0,2,4,4,0,1300,1810,0,5611,0,75,2.88,1,310
4124188,1,0,1,2,0,2,0,0,2,5,6,0,1825,2000,0,5298,0,15,22.76,1,135
4124188,1,0,1,2,0,2,0,0,2,6,9,0,2015,2700,1,5627,0,15,14.45,1,445
4124553,1,3,1,0,0,1,0,2,0,1,9,0,300,845,1,5616,,0,,1,345
4124553,1,3,1,0,0,1,0,2,0,2,0,0,900,1215,0,5643,1,15,3.98,1,195
4124553,1,3,1,0,0,1,0,2,0,3,8,0,1236,1237,0,5643,1,21,0,1,1
4124553,1,3,1,0,0,1,0,2,0,4,0,0,1300,2145,0,5643,1,23,0,1,525
4124553,1,3,1,0,0,1,0,2,0,5,9,0,2200,2700,1,5616,1,15,3.98,1,300
4124553,1,3,1,0,0,1,1,2,0,1,9,0,300,815,1,5616,,0,,1,315
4124553,1,3,1,0,0,1,1,2,0,2,0,0,845,1745,0,5527,0,30,20.51,1,540
4124553,1,3,1,0,0,1,1,2,0,3,9,0,1815,2700,1,5616,0,30,20.51,1,565
4125017,1,0,0,1,0,0,1,0,1,1,9,0,300,930,1,5643,,0,,1,390
4125017,1,0,0,1,0,0,1,0,1,2,3,0,945,1000,0,5643,1,15,0,1,55
4125017,1,0,0,1,0,0,1,0,1,3,9,0,1015,2700,1,5643,1,15,0,1,1045
4126127,1,4,2,3,0,1,0,0,3,1,9,0,300,1315,1,5691,,0,,1,615
4126127,1,4,2,3,0,1,0,0,3,2,3,0,1330,1540,0,5625,0,15,7.05,1,130
4126127,1,4,2,3,0,1,0,0,3,3,9,0,1552,2700,1,5691,0,12,7.05,1,708
4126127,1,4,2,3,0,1,1,0,2,1,9,0,300,1315,1,5691,,0,,1,615
4126127,1,4,2,3,0,1,1,0,2,2,3,0,1330,1540,0,5625,3,15,7.05,1,130
4126127,1,4,2,3,0,1,1,0,2,3,9,0,1552,1700,1,5691,3,12,7.05,1,108
4126127,1,4,2,3,0,1,1,0,2,4,5,0,1705,1715,0,5691,1,5,0,1,10
4126127,1,4,2,3,0,1,1,0,2,5,9,0,1719,2700,1,5691,1,4,0,1,621
4127138,1,3,3,1,0,2,0,2,1,1,9,0,300,800,1,5709,,0,,1,300
4127138,1,3,3,1,0,2,0,2,1,2,0,0,830,1715,0,5641,0,30,14.77,1,565
4127138,1,3,3,1,0,2,0,2,1,3,9,0,1800,2700,1,5709,0,45,14.77,1,540
4127138,1,3,3,1,0,2,1,2,1,1,9,0,300,815,1,5709,,0,,1,315
4127138,1,3,3,1,0,2,1,2,1,2,0,0,900,1730,0,5692,0,45,21.68,1,510
4127138,1,3,3,1,0,2,1,2,1,3,9,0,1815,2700,1,5709,0,45,21.68,1,565
4127148,1,0,0,3,0,0,1,0,3,1,9,0,300,1100,1,5616,,0,,1,480
4127148,1,0,0,3,0,0,1,0,3,2,3,0,1110,1130,0,5616,1,10,0,1,20
4127148,1,0,0,3,0,0,1,0,3,3,9,0,1140,2700,1,5616,1,10,0,1,960
4128118,1,1,3,2,0,0,0,2,2,1,9,0,300,830,1,5643,,0,,1,330
4128118,1,1,3,2,0,0,0,2,2,2,0,0,855,1730,0,5651,1,25,6.03,1,555
4128118,1,1,3,2,0,0,0,2,2,3,9,0,1755,2700,1,5643,1,25,6.03,1,585
4129106,1,0,1,3,0,2,0,0,3,1,9,0,300,1230,1,5653,,0,,1,570
4129106,1,0,1,3,0,2,0,0,3,2,4,0,1310,1615,0,5501,1,40,5.23,1,185
4129106,1,0,1,3,0,2,0,0,3,3,9,0,1650,2700,1,5653,1,35,5.23,1,650
4129120,1,3,2,2,3,2,0,2,2,1,9,0,300,1215,1,5582,,0,,1,555
4129120,1,3,2,2,3,2,0,2,2,2,3,0,1225,1300,0,5653,3,10,5.19,1,75
4129120,1,3,2,2,3,2,0,2,2,3,5,0,1310,1430,0,5503,3,10,4.55,1,80
4129120,1,3,2,2,3,2,0,2,2,4,3,0,1450,1630,0,5683,0,20,15.19,1,140
4129120,1,3,2,2,3,2,0,2,2,5,9,0,1650,2700,1,5582,0,20,19.44,1,650
4129120,1,3,2,2,3,2,1,2,1,1,9,0,300,1215,1,5582,,0,,1,555
4129120,1,3,2,2,3,2,1,2,1,2,3,0,1225,1300,0,5653,0,10,5.19,1,75
4129120,1,3,2,2,3,2,1,2,1,3,5,0,1310,1400,0,5582,0,10,5.19,1,90
4129120,1,3,2,2,3,2,1,2,1,4,9,0,1420,1600,1,5582,0,20,0,1,140
4129120,1,3,2,2,3,2,1,2,1,5,3,0,1605,1635,0,5582,1,5,0,1,30
4129120,1,3,2,2,3,2,1,2,1,6,9,0,1640,2700,1,5582,1,5,0,1,660
4130110,1,3,3,1,3,1,0,2,1,1,9,0,300,715,1,5672,,0,,1,255
4130110,1,3,3,1,3,1,0,2,1,2,0,0,800,1230,0,5672,3,45,,1,270
4130110,1,3,3,1,3,1,0,2,1,3,8,0,1300,1301,0,5672,1,30,0,1,1
4130110,1,3,3,1,3,1,0,2,1,4,0,0,1331,1700,0,5672,1,30,0,1,249
4130110,1,3,3,1,3,1,0,2,1,5,9,0,1755,2700,1,5672,3,55,,1,585
4130110,1,3,3,1,3,1,1,1,1,1,9,0,300,750,1,5672,,0,,1,290
4130110,1,3,3,1,3,1,1,1,1,2,0,0,810,1710,0,5631,1,20,4.78,1,540
4130110,1,3,3,1,3,1,1,1,1,3,9,0,1730,2700,1,5672,1,20,4.78,1,610
4130150,1,3,3,0,0,2,0,2,0,1,9,0,300,2252,1,5626,,0,,1,1192
4130150,1,3,3,0,0,2,0,2,0,2,0,0,2330,2330,1,5626,0,38,0,1,0
4130150,1,3,3,0,0,2,0,2,0,3,9,0,2408,2700,1,5626,0,38,0,1,212
4130150,1,3,3,0,0,2,1,2,0,1,9,0,300,800,1,5626,,0,,1,300
4130150,1,3,3,0,0,2,1,2,0,2,0,0,815,1700,0,5684,0,15,5.56,1,565
